COMPONENT_ID,AIRCRAFT_ID,COMPONENT_TYPE,MODEL,OPERATOR,MAINTENANCE_PROTOCOL,MAX_SEVERITY,AVG_SEVERITY,CRITICAL_COUNT,WARNING_COUNT
CMP-0101,AC-002,oil_pressure_valve,A320neo,United,predictive_v2,100,37.416667,20,51
CMP-0183,AC-049,fuel_sensor,A320neo,Southwest,standard,97,25.516605,11,22
CMP-0136,AC-031,vibration_sensor,B777-300,Southwest,standard,98,31.595041,15,43
CMP-0056,AC-033,oil_pressure_valve,B737-800,Southwest,predictive_v2,99,37.931624,22,48
CMP-0106,AC-011,vibration_sensor,A350-900,Atlas Air,predictive_v2,100,42.008969,36,45
CMP-0125,AC-005,oil_pressure_valve,A320neo,Atlas Air,predictive_v2,99,23.753906,6,16
CMP-0173,AC-039,oil_pressure_valve,B737-800,UPS,standard,96,33.447876,14,49
CMP-0135,AC-040,oil_pressure_valve,A320neo,Southwest,standard,98,25.992218,16,28
CMP-0194,AC-043,oil_pressure_valve,A320neo,Delta,predictive_v2,98,21.072,4,15
CMP-0156,AC-013,vibration_sensor,B737-800,Atlas Air,standard,100,39.931174,33,51
CMP-0072,AC-007,fuel_sensor,B737-800,Southwest,predictive_v2,97,26.883621,5,35
CMP-0109,AC-018,vibration_sensor,A350-900,FedEx,standard,100,39.531365,30,59
CMP-0017,AC-009,temperature_probe,B787-9,Delta,standard,98,32.0,19,38
CMP-0041,AC-017,hydraulic_pump,A350-900,Southwest,predictive_v2,98,28.290698,12,36
CMP-0013,AC-015,vibration_sensor,A320neo,Delta,standard,98,32.351852,13,45
CMP-0054,AC-003,hydraulic_pump,A350-900,FedEx,predictive_v2,96,24.121212,6,22
CMP-0092,AC-022,vibration_sensor,B777-300,FedEx,predictive_v2,100,29.972441,11,35
CMP-0185,AC-002,hydraulic_pump,A320neo,United,predictive_v2,100,33.732558,23,41
CMP-0191,AC-008,vibration_sensor,B777-300,FedEx,standard,100,29.007843,12,33
CMP-0198,AC-037,fuel_sensor,A350-900,American,predictive_v2,100,26.863454,7,35
CMP-0112,AC-047,temperature_probe,A320neo,American,predictive_v2,100,36.336,23,48
CMP-0165,AC-044,fuel_sensor,B737-800,UPS,predictive_v2,100,29.461538,10,43
CMP-0150,AC-016,fuel_sensor,B787-9,FedEx,standard,98,30.150794,20,26
CMP-0186,AC-036,temperature_probe,A350-900,UPS,standard,100,30.037594,15,38
CMP-0148,AC-025,fuel_sensor,A350-900,United,predictive_v2,99,37.230126,26,46
CMP-0166,AC-006,oil_pressure_valve,A350-900,FedEx,standard,97,21.352941,4,19
CMP-0030,AC-028,oil_pressure_valve,A320neo,American,standard,95,25.472803,11,25
CMP-0043,AC-024,vibration_sensor,B737-800,FedEx,standard,100,28.55144,9,35
CMP-0000,AC-005,fuel_sensor,A320neo,Atlas Air,predictive_v2,97,27.32636,11,23
CMP-0044,AC-006,fuel_sensor,A350-900,FedEx,standard,98,23.523207,11,20
CMP-0197,AC-013,vibration_sensor,B737-800,Atlas Air,standard,98,24.81746,5,20
CMP-0033,AC-025,hydraulic_pump,A350-900,United,predictive_v2,100,23.138211,6,21
CMP-0052,AC-047,fuel_sensor,A320neo,American,predictive_v2,98,33.567568,25,37
CMP-0082,AC-044,fuel_sensor,B737-800,UPS,predictive_v2,98,29.54,13,36
CMP-0035,AC-011,oil_pressure_valve,A350-900,Atlas Air,predictive_v2,99,32.95082,10,53
CMP-0110,AC-019,oil_pressure_valve,B737-800,FedEx,standard,99,32.104317,23,42
CMP-0061,AC-032,fuel_sensor,B787-9,American,standard,96,24.729508,4,23
CMP-0123,AC-009,oil_pressure_valve,B787-9,Delta,standard,95,31.440433,15,41
CMP-0088,AC-013,fuel_sensor,B737-800,Atlas Air,standard,100,34.069106,18,50
CMP-0069,AC-004,fuel_sensor,B787-9,Delta,predictive_v2,98,32.378092,25,38
CMP-0180,AC-039,hydraulic_pump,B737-800,UPS,standard,98,34.531008,24,37
CMP-0070,AC-041,temperature_probe,A350-900,UPS,standard,96,24.962406,8,27
CMP-0012,AC-037,vibration_sensor,A350-900,American,predictive_v2,100,28.404494,12,34
CMP-0155,AC-022,temperature_probe,B777-300,FedEx,predictive_v2,99,25.339921,10,22
CMP-0028,AC-037,vibration_sensor,A350-900,American,predictive_v2,99,29.980469,15,33
CMP-0184,AC-008,hydraulic_pump,B777-300,FedEx,standard,99,30.933086,16,42
CMP-0138,AC-039,oil_pressure_valve,B737-800,UPS,standard,100,42.774704,39,54
CMP-0199,AC-004,temperature_probe,B787-9,Delta,predictive_v2,100,31.810277,19,34
CMP-0020,AC-037,fuel_sensor,A350-900,American,predictive_v2,99,34.240816,14,52
CMP-0097,AC-043,fuel_sensor,A320neo,Delta,predictive_v2,98,22.744444,5,24
CMP-0137,AC-014,fuel_sensor,A350-900,FedEx,predictive_v2,100,38.647059,21,46
CMP-0010,AC-025,temperature_probe,A350-900,United,predictive_v2,98,32.15625,22,36
CMP-0024,AC-049,hydraulic_pump,A320neo,Southwest,standard,97,25.358333,9,26
CMP-0046,AC-023,oil_pressure_valve,A350-900,Delta,standard,100,36.845361,17,42
CMP-0175,AC-036,temperature_probe,A350-900,UPS,standard,93,24.405303,5,24
CMP-0003,AC-021,vibration_sensor,B777-300,Southwest,predictive_v2,94,25.337255,9,20
CMP-0103,AC-001,oil_pressure_valve,B737-800,Delta,predictive_v2,95,22.21028,2,21
CMP-0149,AC-026,temperature_probe,B787-9,Delta,predictive_v2,99,28.9375,16,36
CMP-0022,AC-040,fuel_sensor,A320neo,Southwest,standard,100,36.349206,20,52
CMP-0134,AC-011,temperature_probe,A350-900,Atlas Air,predictive_v2,100,25.430894,8,25
CMP-0128,AC-011,temperature_probe,A350-900,Atlas Air,predictive_v2,99,42.714844,33,61
CMP-0023,AC-032,temperature_probe,B787-9,American,standard,100,28.603604,13,25
CMP-0174,AC-005,temperature_probe,A320neo,Atlas Air,predictive_v2,100,32.09058,23,40
CMP-0141,AC-028,fuel_sensor,A320neo,American,standard,89,22.238866,7,20
CMP-0084,AC-046,hydraulic_pump,B737-800,Delta,predictive_v2,100,36.490741,22,39
CMP-0118,AC-018,fuel_sensor,A350-900,FedEx,standard,100,38.211111,28,58
CMP-0018,AC-042,fuel_sensor,A320neo,Delta,predictive_v2,100,32.852814,15,37
CMP-0115,AC-045,fuel_sensor,B737-800,Southwest,standard,99,29.119231,16,34
CMP-0140,AC-002,temperature_probe,A320neo,United,predictive_v2,99,38.044898,27,50
CMP-0182,AC-011,hydraulic_pump,A350-900,Atlas Air,predictive_v2,99,23.144981,13,16
