component_id,aircraft_id,component_type,install_date,expected_life_hours,maintenance_protocol
CMP-0044,AC-006,fuel_sensor,2023-12-09,12222,standard
CMP-0045,AC-016,vibration_sensor,2023-01-10,22068,standard
CMP-0046,AC-023,oil_pressure_valve,2020-02-11,16588,standard
CMP-0047,AC-045,hydraulic_pump,2023-01-23,14747,standard
CMP-0048,AC-024,hydraulic_pump,2022-09-26,20078,standard
CMP-0049,AC-005,hydraulic_pump,2023-11-24,18095,predictive_v2
CMP-0050,AC-021,fuel_sensor,2021-07-10,20588,predictive_v2
CMP-0051,AC-012,vibration_sensor,2022-05-13,11503,standard
CMP-0052,AC-047,fuel_sensor,2021-08-24,16640,predictive_v2
CMP-0053,AC-018,vibration_sensor,2020-07-31,20441,standard
CMP-0054,AC-003,hydraulic_pump,2023-04-13,18584,predictive_v2
CMP-0055,AC-017,fuel_sensor,2021-12-29,16382,predictive_v2
CMP-0056,AC-033,oil_pressure_valve,2020-01-25,23901,predictive_v2
CMP-0057,AC-016,fuel_sensor,2023-07-03,11351,standard
CMP-0058,AC-030,hydraulic_pump,2020-09-20,23753,predictive_v2
CMP-0059,AC-036,fuel_sensor,2022-08-02,13467,standard
CMP-0060,AC-043,vibration_sensor,2023-09-20,22688,predictive_v2
CMP-0061,AC-032,fuel_sensor,2023-07-08,11734,standard
CMP-0062,AC-012,temperature_probe,2023-10-08,22162,standard
CMP-0063,AC-037,fuel_sensor,2023-04-16,21249,predictive_v2
CMP-0064,AC-039,temperature_probe,2021-11-13,14785,standard
CMP-0065,AC-029,vibration_sensor,2022-08-25,17951,standard
CMP-0066,AC-012,hydraulic_pump,2022-03-26,16883,standard
CMP-0067,AC-039,fuel_sensor,2021-11-07,14625,standard
CMP-0068,AC-002,vibration_sensor,2021-10-08,20455,predictive_v2
CMP-0069,AC-004,fuel_sensor,2021-10-26,21306,predictive_v2
CMP-0070,AC-041,temperature_probe,2023-06-29,17611,standard
CMP-0071,AC-005,fuel_sensor,2021-12-03,19337,predictive_v2
CMP-0072,AC-007,fuel_sensor,2022-09-22,9352,predictive_v2
CMP-0073,AC-018,temperature_probe,2022-02-11,14732,standard
CMP-0074,AC-026,oil_pressure_valve,2023-03-19,12140,predictive_v2
CMP-0075,AC-028,oil_pressure_valve,2023-08-05,20611,standard
CMP-0076,AC-016,hydraulic_pump,2021-03-05,24036,standard
CMP-0077,AC-012,oil_pressure_valve,2021-05-27,15871,standard
CMP-0078,AC-049,temperature_probe,2023-11-28,8819,standard
CMP-0079,AC-006,oil_pressure_valve,2023-03-20,23785,standard
CMP-0080,AC-010,oil_pressure_valve,2023-01-11,19848,predictive_v2
CMP-0081,AC-016,hydraulic_pump,2021-04-17,16636,standard
CMP-0082,AC-044,fuel_sensor,2022-08-13,17558,predictive_v2
CMP-0083,AC-037,temperature_probe,2023-04-27,10453,predictive_v2
CMP-0084,AC-046,hydraulic_pump,2021-04-10,20896,predictive_v2
CMP-0085,AC-021,oil_pressure_valve,2023-05-21,13600,predictive_v2
CMP-0086,AC-006,vibration_sensor,2022-06-16,17368,standard
CMP-0087,AC-018,temperature_probe,2020-09-08,17173,standard
CMP-0088,AC-013,fuel_sensor,2021-11-13,10561,standard
CMP-0089,AC-017,temperature_probe,2021-03-28,19364,predictive_v2
CMP-0090,AC-020,vibration_sensor,2023-06-03,23509,standard
CMP-0091,AC-020,oil_pressure_valve,2023-09-09,9990,standard
CMP-0092,AC-022,vibration_sensor,2022-09-07,9177,predictive_v2
CMP-0093,AC-015,vibration_sensor,2021-01-22,11317,standard
CMP-0094,AC-041,temperature_probe,2023-09-03,12555,standard
CMP-0095,AC-047,vibration_sensor,2023-06-23,12004,predictive_v2
CMP-0096,AC-045,temperature_probe,2023-10-27,24840,standard
CMP-0097,AC-043,fuel_sensor,2023-10-08,9737,predictive_v2
CMP-0098,AC-041,fuel_sensor,2023-02-04,23687,standard
CMP-0099,AC-036,hydraulic_pump,2023-05-28,23760,standard
CMP-0100,AC-017,oil_pressure_valve,2023-09-23,9696,predictive_v2
CMP-0101,AC-002,oil_pressure_valve,2019-10-22,20968,predictive_v2
CMP-0102,AC-022,oil_pressure_valve,2023-07-01,10620,predictive_v2
CMP-0103,AC-001,oil_pressure_valve,2023-08-30,9754,predictive_v2
CMP-0104,AC-030,hydraulic_pump,2022-09-24,24533,predictive_v2
CMP-0105,AC-000,fuel_sensor,2021-03-21,11752,predictive_v2
CMP-0106,AC-011,vibration_sensor,2020-07-22,19136,predictive_v2
CMP-0107,AC-005,hydraulic_pump,2021-12-08,14472,predictive_v2
CMP-0108,AC-008,oil_pressure_valve,2022-05-16,23500,standard
CMP-0109,AC-018,vibration_sensor,2020-07-17,11196,standard
CMP-0110,AC-019,oil_pressure_valve,2022-02-17,10125,standard
CMP-0111,AC-033,oil_pressure_valve,2021-01-18,20341,predictive_v2
CMP-0112,AC-047,temperature_probe,2021-02-01,14576,predictive_v2
CMP-0113,AC-000,hydraulic_pump,2021-02-21,19751,predictive_v2
CMP-0114,AC-038,hydraulic_pump,2022-08-07,12045,standard
CMP-0115,AC-045,fuel_sensor,2023-02-11,20710,standard
CMP-0116,AC-015,fuel_sensor,2023-06-10,22556,standard
CMP-0117,AC-046,hydraulic_pump,2022-05-18,10267,predictive_v2
CMP-0118,AC-018,fuel_sensor,2021-04-17,11348,standard
CMP-0119,AC-033,hydraulic_pump,2021-12-22,17202,predictive_v2
CMP-0120,AC-044,hydraulic_pump,2023-07-15,11950,predictive_v2
CMP-0121,AC-035,temperature_probe,2022-06-25,17242,predictive_v2
CMP-0122,AC-039,fuel_sensor,2021-04-25,19599,standard
CMP-0123,AC-009,oil_pressure_valve,2022-04-30,23398,standard
CMP-0124,AC-018,fuel_sensor,2020-05-06,23911,standard
CMP-0125,AC-005,oil_pressure_valve,2023-03-03,16895,predictive_v2
CMP-0126,AC-028,temperature_probe,2023-07-21,8175,standard
CMP-0127,AC-016,oil_pressure_valve,2021-01-20,20763,standard
CMP-0128,AC-011,temperature_probe,2019-09-16,23349,predictive_v2
CMP-0129,AC-032,oil_pressure_valve,2022-06-15,19191,standard
CMP-0130,AC-011,oil_pressure_valve,2020-10-15,12311,predictive_v2
CMP-0131,AC-035,oil_pressure_valve,2023-02-11,17004,predictive_v2
CMP-0132,AC-047,fuel_sensor,2021-01-15,24812,predictive_v2
CMP-0133,AC-028,vibration_sensor,2023-06-06,15624,standard
CMP-0134,AC-011,temperature_probe,2023-06-08,17608,predictive_v2
CMP-0135,AC-040,oil_pressure_valve,2023-03-29,15689,standard
CMP-0136,AC-031,vibration_sensor,2022-05-03,14803,standard
CMP-0137,AC-014,fuel_sensor,2019-09-09,16431,predictive_v2
CMP-0138,AC-039,oil_pressure_valve,2020-02-17,11650,standard
CMP-0139,AC-024,temperature_probe,2022-10-01,24670,standard
CMP-0140,AC-002,temperature_probe,2021-01-03,15816,predictive_v2
CMP-0141,AC-028,fuel_sensor,2023-11-02,19084,standard
CMP-0142,AC-049,fuel_sensor,2023-01-04,10150,standard
CMP-0143,AC-039,hydraulic_pump,2022-04-27,11949,standard
CMP-0144,AC-039,fuel_sensor,2023-11-17,23210,standard
CMP-0145,AC-004,hydraulic_pump,2021-04-27,21082,predictive_v2
CMP-0146,AC-025,temperature_probe,2022-12-19,15275,predictive_v2
CMP-0147,AC-008,oil_pressure_valve,2021-10-15,16096,standard
CMP-0148,AC-025,fuel_sensor,2021-04-25,15078,predictive_v2
CMP-0149,AC-026,temperature_probe,2022-07-30,10577,predictive_v2
CMP-0150,AC-016,fuel_sensor,2022-06-02,9827,standard
CMP-0151,AC-016,vibration_sensor,2021-01-13,20226,standard
CMP-0152,AC-019,oil_pressure_valve,2023-03-13,12944,standard
CMP-0153,AC-035,vibration_sensor,2021-04-19,17869,predictive_v2
CMP-0154,AC-049,hydraulic_pump,2023-06-19,23262,standard
CMP-0155,AC-022,temperature_probe,2023-07-01,17645,predictive_v2
CMP-0156,AC-013,vibration_sensor,2020-10-26,22919,standard
CMP-0157,AC-048,vibration_sensor,2023-07-26,18878,predictive_v2
CMP-0158,AC-022,fuel_sensor,2023-09-26,15468,predictive_v2
CMP-0159,AC-021,oil_pressure_valve,2023-08-13,23957,predictive_v2
CMP-0160,AC-040,hydraulic_pump,2023-01-22,11962,standard
CMP-0161,AC-012,hydraulic_pump,2022-01-08,21214,standard
CMP-0162,AC-002,oil_pressure_valve,2021-10-02,15848,predictive_v2
CMP-0163,AC-035,fuel_sensor,2021-02-04,20522,predictive_v2
CMP-0164,AC-037,vibration_sensor,2023-11-17,22519,predictive_v2
CMP-0165,AC-044,fuel_sensor,2022-11-02,9674,predictive_v2
CMP-0166,AC-006,oil_pressure_valve,2023-10-08,22931,standard
CMP-0167,AC-007,vibration_sensor,2021-08-15,11954,predictive_v2
CMP-0168,AC-009,hydraulic_pump,2022-04-10,24346,standard
CMP-0169,AC-048,fuel_sensor,2023-03-13,11269,predictive_v2
CMP-0170,AC-012,vibration_sensor,2022-10-11,20907,standard
CMP-0171,AC-044,fuel_sensor,2023-05-03,18808,predictive_v2
CMP-0172,AC-005,hydraulic_pump,2022-06-03,24893,predictive_v2
CMP-0173,AC-039,oil_pressure_valve,2021-06-12,23138,standard
CMP-0174,AC-005,temperature_probe,2022-01-16,22598,predictive_v2
CMP-0175,AC-036,temperature_probe,2023-10-14,18117,standard
CMP-0176,AC-028,temperature_probe,2023-05-16,24524,standard
CMP-0177,AC-014,vibration_sensor,2022-11-10,18036,predictive_v2
CMP-0178,AC-029,oil_pressure_valve,2021-09-14,15568,standard
CMP-0179,AC-040,vibration_sensor,2023-08-10,11209,standard
CMP-0180,AC-039,hydraulic_pump,2021-01-26,14680,standard
CMP-0181,AC-015,oil_pressure_valve,2021-03-28,8331,standard
CMP-0182,AC-011,hydraulic_pump,2023-08-05,18625,predictive_v2
CMP-0183,AC-049,fuel_sensor,2023-09-05,20436,standard
CMP-0184,AC-008,hydraulic_pump,2022-07-19,15984,standard
CMP-0185,AC-002,hydraulic_pump,2021-09-04,9672,predictive_v2
CMP-0186,AC-036,temperature_probe,2021-10-01,23166,standard
CMP-0187,AC-000,hydraulic_pump,2020-01-17,14685,predictive_v2
CMP-0188,AC-028,oil_pressure_valve,2023-12-17,12961,standard
CMP-0189,AC-028,oil_pressure_valve,2023-06-19,17957,standard
CMP-0190,AC-028,oil_pressure_valve,2023-09-06,16234,standard
CMP-0191,AC-008,vibration_sensor,2022-08-23,18254,standard
CMP-0192,AC-037,oil_pressure_valve,2022-10-08,21041,predictive_v2
CMP-0193,AC-025,fuel_sensor,2021-06-07,8614,predictive_v2
CMP-0194,AC-043,oil_pressure_valve,2023-11-04,8022,predictive_v2
CMP-0195,AC-034,hydraulic_pump,2021-04-03,20539,predictive_v2
CMP-0196,AC-045,vibration_sensor,2023-05-31,10159,standard
CMP-0197,AC-013,vibration_sensor,2023-02-10,13088,standard
CMP-0198,AC-037,fuel_sensor,2023-04-05,21939,predictive_v2
CMP-0199,AC-004,temperature_probe,2022-05-22,10224,predictive_v2
