DATE,HEALTH_RATIO,AIRCRAFT_WITH_ALERTS,FLEET_AVG_SEVERITY,TOTAL_COMPONENTS_MONITORED,date
2024-03-20,0.717391,15,27.474453,92,2024-03-20
2024-03-21,0.648148,23,28.080292,108,2024-03-21
2024-03-22,0.707071,17,28.042857,99,2024-03-22
2024-03-23,0.604396,17,30.241071,91,2024-03-23
2024-03-24,0.729167,15,24.381679,96,2024-03-24
2024-03-25,0.651786,19,30.650685,112,2024-03-25
2024-03-26,0.62,23,31.410448,100,2024-03-26
2024-03-27,0.712766,17,29.162963,94,2024-03-27
2024-03-28,0.631068,24,33.426573,103,2024-03-28
2024-03-29,0.62766,21,31.138462,94,2024-03-29
2024-03-30,0.577778,22,31.645669,90,2024-03-30
2024-03-31,0.704082,16,27.179688,98,2024-03-31
2024-04-01,0.663043,19,30.585185,92,2024-04-01
2024-04-02,0.707865,14,28.31405,89,2024-04-02
2024-04-03,0.725275,16,27.2,91,2024-04-03
2024-04-04,0.682692,20,29.833333,104,2024-04-04
2024-04-05,0.634615,19,29.721088,104,2024-04-05
2024-04-06,0.594059,24,32.807143,101,2024-04-06
2024-04-07,0.68,19,28.911111,100,2024-04-07
2024-04-08,0.786517,10,22.445378,89,2024-04-08
2024-04-09,0.577778,13,30.558559,90,2024-04-09
2024-04-10,0.714286,19,29.387324,98,2024-04-10
2024-04-11,0.628866,16,30.34058,97,2024-04-11
2024-04-12,0.75,14,24.666667,96,2024-04-12
2024-04-13,0.670455,19,29.693548,88,2024-04-13
2024-04-14,0.696078,15,25.784722,102,2024-04-14
2024-04-15,0.693182,18,30.633333,88,2024-04-15
2024-04-16,0.68932,19,28.101449,103,2024-04-16
2024-04-17,0.676471,26,30.839161,102,2024-04-17
2024-04-18,0.619048,17,28.398601,105,2024-04-18
2024-04-19,0.649485,13,27.484375,97,2024-04-19
2024-04-20,0.707071,16,29.347826,99,2024-04-20
2024-04-21,0.763441,20,29.450382,93,2024-04-21
2024-04-22,0.663366,17,31.913669,101,2024-04-22
2024-04-23,0.615385,26,31.59542,91,2024-04-23
2024-04-24,0.73,18,26.751825,100,2024-04-24
2024-04-25,0.645833,16,28.258065,96,2024-04-25
2024-04-26,0.704348,22,29.958084,115,2024-04-26
2024-04-27,0.730769,21,27.795918,104,2024-04-27
2024-04-28,0.647059,24,30.161765,102,2024-04-28
2024-04-29,0.575758,20,34.41129,99,2024-04-29
2024-04-30,0.707865,18,27.938931,89,2024-04-30
2024-05-01,0.636364,23,30.835526,110,2024-05-01
2024-05-02,0.806452,16,24.5625,93,2024-05-02
2024-05-03,0.670213,18,29.120301,94,2024-05-03
2024-05-04,0.745455,16,23.947368,110,2024-05-04
2024-05-05,0.631068,25,32.591837,103,2024-05-05
2024-05-06,0.612903,25,31.378788,93,2024-05-06
2024-05-07,0.625,25,29.868613,104,2024-05-07
2024-05-08,0.633028,19,28.708609,109,2024-05-08
2024-05-09,0.680851,16,30.161538,94,2024-05-09
2024-05-10,0.581633,13,30.14876,98,2024-05-10
2024-05-11,0.707547,19,29.461538,106,2024-05-11
2024-05-12,0.702128,15,26.856115,94,2024-05-12
2024-05-13,0.714286,18,27.815068,105,2024-05-13
2024-05-14,0.662651,14,28.105263,83,2024-05-14
2024-05-15,0.681319,19,30.406504,91,2024-05-15
2024-05-16,0.683673,16,26.269841,98,2024-05-16
2024-05-17,0.709302,13,25.056911,86,2024-05-17
2024-05-18,0.681319,16,29.295082,91,2024-05-18
2024-05-19,0.666667,16,27.435484,90,2024-05-19
2024-05-20,0.75,16,26.161972,108,2024-05-20
2024-05-21,0.629213,20,31.151261,89,2024-05-21
2024-05-22,0.630435,19,29.478992,92,2024-05-22
2024-05-23,0.65625,18,30.583942,96,2024-05-23
2024-05-24,0.696429,22,30.442424,112,2024-05-24
2024-05-25,0.669903,19,30.103448,103,2024-05-25
2024-05-26,0.700935,25,30.503311,107,2024-05-26
2024-05-27,0.690722,22,29.713235,97,2024-05-27
2024-05-28,0.684211,27,29.807692,114,2024-05-28
2024-05-29,0.704762,19,28.119718,105,2024-05-29
2024-05-30,0.663366,20,28.727891,101,2024-05-30
2024-05-31,0.666667,19,27.223684,108,2024-05-31
2024-06-01,0.703297,14,29.897638,91,2024-06-01
2024-06-02,0.673913,18,28.464286,92,2024-06-02
2024-06-03,0.722772,17,27.465753,101,2024-06-03
2024-06-04,0.742857,20,27.91358,105,2024-06-04
2024-06-05,0.666667,15,28.480916,90,2024-06-05
2024-06-06,0.603774,22,33.993671,106,2024-06-06
2024-06-07,0.696078,20,28.549296,102,2024-06-07
2024-06-08,0.648936,20,26.876923,94,2024-06-08
2024-06-09,0.654206,26,30.15942,107,2024-06-09
2024-06-10,0.607843,16,30.738806,102,2024-06-10
2024-06-11,0.654545,22,29.237762,110,2024-06-11
2024-06-12,0.632653,17,28.835714,98,2024-06-12
2024-06-13,0.679245,17,28.551724,106,2024-06-13
2024-06-14,0.714286,20,29.027211,112,2024-06-14
2024-06-15,0.613861,22,30.445205,101,2024-06-15
2024-06-16,0.619565,22,32.043796,92,2024-06-16
2024-06-17,0.586538,23,32.659259,104,2024-06-17
2024-06-18,0.666667,17,29.113475,102,2024-06-18
2024-06-19,0.638298,18,30.553846,94,2024-06-19
2024-06-20,0.59596,23,31.416058,99,2024-06-20
2024-06-21,0.701923,20,28.317241,104,2024-06-21
2024-06-22,0.590909,13,28.97541,88,2024-06-22
2024-06-23,0.734694,21,28.272109,98,2024-06-23
2024-06-24,0.68,18,28.080292,100,2024-06-24
2024-06-25,0.62,23,31.088435,100,2024-06-25
2024-06-26,0.588235,19,30.834586,102,2024-06-26
2024-06-27,0.666667,21,29.277778,99,2024-06-27
2024-06-28,0.598039,22,32.608696,102,2024-06-28
2024-06-29,0.648936,18,30.1,94,2024-06-29
2024-06-30,0.704545,14,28.468468,88,2024-06-30
2024-07-01,0.666667,21,29.531469,93,2024-07-01
2024-07-02,0.608696,20,31.109489,92,2024-07-02
2024-07-03,0.660194,21,29.125828,103,2024-07-03
2024-07-04,0.65,19,29.597222,100,2024-07-04
2024-07-05,0.59375,26,32.306569,96,2024-07-05
2024-07-06,0.626263,22,30.937984,99,2024-07-06
2024-07-07,0.650485,16,27.736842,103,2024-07-07
2024-07-08,0.61165,18,31.2,103,2024-07-08
2024-07-09,0.617021,22,32.094891,94,2024-07-09
2024-07-10,0.75,21,27.333333,100,2024-07-10
2024-07-11,0.686869,21,30.1875,99,2024-07-11
2024-07-12,0.677419,15,26.131783,93,2024-07-12
2024-07-13,0.659574,20,30.572519,94,2024-07-13
2024-07-14,0.634615,18,30.547445,104,2024-07-14
2024-07-15,0.604167,20,31.620968,96,2024-07-15
2024-07-16,0.709677,16,26.713178,93,2024-07-16
2024-07-17,0.681319,19,31.232558,91,2024-07-17
2024-07-18,0.584158,23,33.015038,101,2024-07-18
2024-07-19,0.630952,21,29.525,84,2024-07-19
2024-07-20,0.626374,16,28.309524,91,2024-07-20
2024-07-21,0.597561,19,31.991597,82,2024-07-21
2024-07-22,0.675676,15,27.317881,111,2024-07-22
2024-07-23,0.611765,17,34.113043,85,2024-07-23
2024-07-24,0.604651,16,30.336207,86,2024-07-24
2024-07-25,0.583333,17,28.935714,108,2024-07-25
2024-07-26,0.648649,21,30.269939,111,2024-07-26
2024-07-27,0.675926,17,27.630137,108,2024-07-27
2024-07-28,0.726415,17,27.248366,106,2024-07-28
2024-07-29,0.632653,15,29.036496,98,2024-07-29
2024-07-30,0.622222,14,27.267857,90,2024-07-30
2024-07-31,0.621053,22,29.442029,95,2024-07-31
2024-08-01,0.604167,20,31.79562,96,2024-08-01
2024-08-02,0.651786,24,31.298701,112,2024-08-02
2024-08-03,0.663043,21,31.9375,92,2024-08-03
2024-08-04,0.565657,20,31.022059,99,2024-08-04
2024-08-05,0.540816,19,35.341085,98,2024-08-05
2024-08-06,0.636364,17,31.134328,99,2024-08-06
2024-08-07,0.622449,18,30.072,98,2024-08-07
2024-08-08,0.544554,22,33.680851,101,2024-08-08
2024-08-09,0.66055,19,28.553459,109,2024-08-09
2024-08-10,0.641667,19,28.078788,120,2024-08-10
2024-08-11,0.666667,24,32.522013,108,2024-08-11
2024-08-12,0.622449,18,29.099237,98,2024-08-12
2024-08-13,0.557895,23,33.966387,95,2024-08-13
2024-08-14,0.684211,19,29.708661,95,2024-08-14
2024-08-15,0.531532,21,32.847826,111,2024-08-15
2024-08-16,0.712871,19,28.753333,101,2024-08-16
2024-08-17,0.635514,20,33.372414,107,2024-08-17
2024-08-18,0.568627,19,33.352518,102,2024-08-18
2024-08-19,0.616822,19,30.171642,107,2024-08-19
2024-08-20,0.644231,19,30.074324,104,2024-08-20
2024-08-21,0.673267,21,28.242424,101,2024-08-21
2024-08-22,0.598131,25,33.398734,107,2024-08-22
2024-08-23,0.63964,17,29.106667,111,2024-08-23
2024-08-24,0.666667,16,29.126866,99,2024-08-24
2024-08-25,0.588235,24,31.054264,85,2024-08-25
2024-08-26,0.633663,21,31.167742,101,2024-08-26
2024-08-27,0.592233,19,30.145833,103,2024-08-27
2024-08-28,0.632653,24,32.24,98,2024-08-28
2024-08-29,0.650602,16,30.017241,83,2024-08-29
2024-08-30,0.56,21,32.769231,100,2024-08-30
2024-08-31,0.557692,24,34.259259,104,2024-08-31
2024-09-01,0.615385,18,30.579365,91,2024-09-01
2024-09-02,0.625,20,29.547619,96,2024-09-02
2024-09-03,0.568807,23,34.958042,109,2024-09-03
2024-09-04,0.505155,25,34.264706,97,2024-09-04
2024-09-05,0.594059,20,30.861314,101,2024-09-05
2024-09-06,0.742857,17,28.561728,105,2024-09-06
2024-09-07,0.673469,21,29.265306,98,2024-09-07
2024-09-08,0.688679,18,29.082759,106,2024-09-08
2024-09-09,0.674419,21,32.681034,86,2024-09-09
2024-09-10,0.681818,17,30.032787,88,2024-09-10
2024-09-11,0.631579,17,26.832061,95,2024-09-11
2024-09-12,0.610169,25,31.8,118,2024-09-12
2024-09-13,0.630631,22,31.223684,111,2024-09-13
2024-09-14,0.68,20,29.797203,100,2024-09-14
2024-09-15,0.619565,20,32.03876,92,2024-09-15
2024-09-16,0.69,22,30.703704,100,2024-09-16
2024-09-17,0.659341,17,29.730159,91,2024-09-17
2024-09-18,0.540816,25,34.759398,98,2024-09-18
2024-09-19,0.619565,19,30.655738,92,2024-09-19
2024-09-20,0.640777,23,33.390977,103,2024-09-20
2024-09-21,0.575758,21,31.723077,99,2024-09-21
2024-09-22,0.657143,25,31.961039,105,2024-09-22
2024-09-23,0.585859,20,30.594771,99,2024-09-23
2024-09-24,0.663265,21,33.472603,98,2024-09-24
2024-09-25,0.662921,12,28.243902,89,2024-09-25
2024-09-26,0.672414,22,28.837662,116,2024-09-26
2024-09-27,0.638889,18,29.89697,108,2024-09-27
2024-09-28,0.583333,23,31.69863,108,2024-09-28
2024-09-29,0.556701,19,31.492537,97,2024-09-29
2024-09-30,0.6,22,30.815385,95,2024-09-30
2024-10-01,0.597938,25,33.526718,97,2024-10-01
2024-10-02,0.604651,20,31.587302,86,2024-10-02
2024-10-03,0.69,19,29.736842,100,2024-10-03
2024-10-04,0.663462,16,29.72093,104,2024-10-04
2024-10-05,0.585106,25,33.606299,94,2024-10-05
2024-10-06,0.585859,20,32.253731,99,2024-10-06
2024-10-07,0.618644,21,30.714286,118,2024-10-07
2024-10-08,0.6,26,32.713333,105,2024-10-08
2024-10-09,0.640449,18,31.96124,89,2024-10-09
2024-10-10,0.648649,15,30.260274,111,2024-10-10
2024-10-11,0.71875,20,30.91129,96,2024-10-11
2024-10-12,0.626374,24,33.328358,91,2024-10-12
2024-10-13,0.528302,24,33.014493,106,2024-10-13
2024-10-14,0.662921,22,29.788732,89,2024-10-14
2024-10-15,0.578947,16,30.719697,95,2024-10-15
2024-10-16,0.527473,23,35.062992,91,2024-10-16
2024-10-17,0.560748,21,32.496644,107,2024-10-17
2024-10-18,0.607477,20,29.818182,107,2024-10-18
2024-10-19,0.59434,27,33.555556,106,2024-10-19
2024-10-20,0.55102,19,31.76378,98,2024-10-20
2024-10-21,0.643564,22,29.832117,101,2024-10-21
2024-10-22,0.627273,22,32.113924,110,2024-10-22
2024-10-23,0.612069,20,31.698225,116,2024-10-23
2024-10-24,0.738739,20,26.538462,111,2024-10-24
2024-10-25,0.534884,23,34.793651,86,2024-10-25
2024-10-26,0.605505,23,31.852564,109,2024-10-26
2024-10-27,0.618557,19,30.611111,97,2024-10-27
2024-10-28,0.649485,27,34.456693,97,2024-10-28
2024-10-29,0.614679,26,32.855263,109,2024-10-29
2024-10-30,0.55914,20,36.129496,93,2024-10-30
2024-10-31,0.65625,17,29.654135,96,2024-10-31
2024-11-01,0.54902,24,34.773973,102,2024-11-01
2024-11-02,0.70297,20,28.088235,101,2024-11-02
2024-11-03,0.650943,18,28.879195,106,2024-11-03
2024-11-04,0.632653,19,32.342857,98,2024-11-04
2024-11-05,0.623762,22,33.654412,101,2024-11-05
2024-11-06,0.572917,19,32.203125,96,2024-11-06
2024-11-07,0.612245,22,32.664,98,2024-11-07
2024-11-08,0.582524,24,33.091549,103,2024-11-08
2024-11-09,0.54386,27,34.647799,114,2024-11-09
2024-11-10,0.663462,20,30.562914,104,2024-11-10
2024-11-11,0.649485,17,31.015267,97,2024-11-11
2024-11-12,0.631579,20,30.984615,95,2024-11-12
2024-11-13,0.712766,20,29.687023,94,2024-11-13
2024-11-14,0.557895,24,35.488189,95,2024-11-14
2024-11-15,0.5625,27,33.89404,112,2024-11-15
2024-11-16,0.678161,18,30.689076,87,2024-11-16
2024-11-17,0.626506,16,28.890756,83,2024-11-17
2024-11-18,0.638095,19,32.829114,105,2024-11-18
2024-11-19,0.625,21,30.084615,96,2024-11-19
2024-11-20,0.584158,21,33.394366,101,2024-11-20
2024-11-21,0.628571,16,28.61194,105,2024-11-21
2024-11-22,0.59,26,35.083969,100,2024-11-22
2024-11-23,0.638298,17,30.248,94,2024-11-23
2024-11-24,0.59596,20,29.285714,99,2024-11-24
2024-11-25,0.504762,22,33.962121,105,2024-11-25
2024-11-26,0.621359,22,32.050725,103,2024-11-26
2024-11-27,0.526882,23,36.330645,93,2024-11-27
2024-11-28,0.505051,28,37.786765,99,2024-11-28
2024-11-29,0.526786,22,34.75,112,2024-11-29
2024-11-30,0.645833,17,31.320313,96,2024-11-30
2024-12-01,0.53125,25,35.866667,96,2024-12-01
2024-12-02,0.637255,24,31.766667,102,2024-12-02
2024-12-03,0.556701,23,35.175573,97,2024-12-03
2024-12-04,0.663158,18,31.714286,95,2024-12-04
2024-12-05,0.557895,18,31.934426,95,2024-12-05
2024-12-06,0.556701,22,32.304688,97,2024-12-06
2024-12-07,0.59375,21,32.690476,96,2024-12-07
2024-12-08,0.605769,23,31.930556,104,2024-12-08
2024-12-09,0.537634,21,33.835821,93,2024-12-09
2024-12-10,0.623762,17,28.015504,101,2024-12-10
2024-12-11,0.663043,20,30.008065,92,2024-12-11
2024-12-12,0.568421,17,33.357143,95,2024-12-12
2024-12-13,0.544554,24,35.232558,101,2024-12-13
2024-12-14,0.614583,27,32.684932,96,2024-12-14
2024-12-15,0.538462,23,32.79562,104,2024-12-15
2024-12-16,0.526882,22,34.520325,93,2024-12-16
2024-12-17,0.640449,21,31.65,89,2024-12-17
2024-12-18,0.637363,21,30.225806,91,2024-12-18
2024-12-19,0.5625,26,32.42953,112,2024-12-19
2024-12-20,0.584158,19,29.448819,101,2024-12-20
2024-12-21,0.530612,20,32.503546,98,2024-12-21
2024-12-22,0.56,28,35.541096,100,2024-12-22
2024-12-23,0.595745,21,31.83871,94,2024-12-23
2024-12-24,0.623853,23,30.237805,109,2024-12-24
2024-12-25,0.607843,22,30.325758,102,2024-12-25
2024-12-26,0.532609,22,34.066116,92,2024-12-26
2024-12-27,0.602151,26,34.406015,93,2024-12-27
2024-12-28,0.613208,20,30.796053,106,2024-12-28
2024-12-29,0.591837,21,32.435484,98,2024-12-29
2024-12-30,0.623656,19,30.792,93,2024-12-30
