COMPONENT_ID,COMPONENT_TYPE,AIRCRAFT_ID,INSTALL_DATE,FIRST_ALERT_DATE,DAYS_TO_FAILURE,MONTHS_TO_FAILURE,CENSORED
CMP-0063,fuel_sensor,AC-037,2023-04-16,2024-01-09,268,9,0
CMP-0048,hydraulic_pump,AC-024,2022-09-26,2024-01-03,464,16,0
CMP-0003,vibration_sensor,AC-021,2023-07-29,2024-02-04,190,7,0
CMP-0160,hydraulic_pump,AC-040,2023-01-22,2024-01-20,363,12,0
CMP-0026,oil_pressure_valve,AC-011,2023-10-26,2024-01-27,93,3,0
CMP-0006,fuel_sensor,AC-016,2023-08-23,2024-01-30,160,5,0
CMP-0080,oil_pressure_valve,AC-010,2023-01-11,2024-01-23,377,12,0
CMP-0083,temperature_probe,AC-037,2023-04-27,2024-01-06,254,9,0
CMP-0090,vibration_sensor,AC-020,2023-06-03,2024-01-31,242,7,0
CMP-0098,fuel_sensor,AC-041,2023-02-04,2024-01-05,335,11,0
CMP-0010,temperature_probe,AC-025,2022-02-22,2024-01-02,679,23,0
CMP-0001,fuel_sensor,AC-000,2023-05-20,2024-01-04,229,8,0
CMP-0029,oil_pressure_valve,AC-039,2021-09-13,2024-01-03,842,28,0
CMP-0181,oil_pressure_valve,AC-015,2021-03-28,2024-01-23,1031,34,0
CMP-0172,hydraulic_pump,AC-005,2022-06-03,2024-01-04,580,19,0
CMP-0126,temperature_probe,AC-028,2023-07-21,2024-01-10,173,6,0
CMP-0036,temperature_probe,AC-007,2020-02-10,2024-01-01,1421,47,0
CMP-0147,oil_pressure_valve,AC-008,2021-10-15,2024-01-08,815,27,0
CMP-0144,fuel_sensor,AC-039,2023-11-17,2024-01-05,49,2,0
CMP-0111,oil_pressure_valve,AC-033,2021-01-18,2024-01-02,1079,36,0
CMP-0082,fuel_sensor,AC-044,2022-08-13,2024-01-02,507,17,0
CMP-0108,oil_pressure_valve,AC-008,2022-05-16,2024-01-11,605,20,0
CMP-0134,temperature_probe,AC-011,2023-06-08,2024-01-13,219,7,0
CMP-0187,hydraulic_pump,AC-000,2020-01-17,2024-01-01,1445,48,0
CMP-0054,hydraulic_pump,AC-003,2023-04-13,2024-01-03,265,9,0
CMP-0158,fuel_sensor,AC-022,2023-09-26,2024-02-05,132,5,0
CMP-0013,vibration_sensor,AC-015,2022-06-15,2024-01-05,569,19,0
CMP-0161,hydraulic_pump,AC-012,2022-01-08,2024-01-02,724,24,0
CMP-0122,fuel_sensor,AC-039,2021-04-25,2024-01-06,986,33,0
CMP-0150,fuel_sensor,AC-016,2022-06-02,2024-01-23,600,19,0
CMP-0020,fuel_sensor,AC-037,2022-03-07,2024-01-09,673,22,0
CMP-0121,temperature_probe,AC-035,2022-06-25,2024-01-05,559,19,0
CMP-0124,fuel_sensor,AC-018,2020-05-06,2024-01-09,1343,44,0
CMP-0094,temperature_probe,AC-041,2023-09-03,2024-01-28,147,4,0
CMP-0070,temperature_probe,AC-041,2023-06-29,2024-01-30,215,7,0
CMP-0175,temperature_probe,AC-036,2023-10-14,2024-01-07,85,3,0
CMP-0139,temperature_probe,AC-024,2022-10-01,2024-01-05,461,15,0
CMP-0112,temperature_probe,AC-047,2021-02-01,2024-01-03,1066,35,0
CMP-0113,hydraulic_pump,AC-000,2021-02-21,2024-01-06,1049,35,0
CMP-0138,oil_pressure_valve,AC-039,2020-02-17,2024-01-02,1415,47,0
CMP-0038,oil_pressure_valve,AC-034,2022-07-21,2024-01-03,531,18,0
CMP-0011,vibration_sensor,AC-006,2022-04-01,2024-01-02,641,21,0
CMP-0028,vibration_sensor,AC-037,2022-07-31,2024-01-09,527,18,0
CMP-0178,oil_pressure_valve,AC-029,2021-09-14,2024-01-10,848,28,0
CMP-0031,hydraulic_pump,AC-038,2020-04-10,2024-01-04,1364,45,0
CMP-0065,vibration_sensor,AC-029,2022-08-25,2024-01-18,511,17,0
CMP-0165,fuel_sensor,AC-044,2022-11-02,2024-01-03,427,14,0
CMP-0155,temperature_probe,AC-022,2023-07-01,2024-01-02,185,6,0
CMP-0055,fuel_sensor,AC-017,2021-12-29,2024-01-05,737,25,0
CMP-0025,fuel_sensor,AC-024,2023-06-28,2024-01-07,193,7,0
CMP-0021,vibration_sensor,AC-012,2023-01-09,2024-01-03,359,12,0
CMP-0012,vibration_sensor,AC-037,2023-01-15,2024-01-08,358,12,0
CMP-0064,temperature_probe,AC-039,2021-11-13,2024-01-14,792,26,0
CMP-0104,hydraulic_pump,AC-030,2022-09-24,2024-01-02,465,16,0
CMP-0106,vibration_sensor,AC-011,2020-07-22,2024-01-05,1262,42,0
CMP-0072,fuel_sensor,AC-007,2022-09-22,2024-01-02,467,16,0
CMP-0074,oil_pressure_valve,AC-026,2023-03-19,2024-01-03,290,10,0
CMP-0076,hydraulic_pump,AC-016,2021-03-05,2024-01-02,1033,34,0
CMP-0189,oil_pressure_valve,AC-028,2023-06-19,2024-02-08,234,8,0
CMP-0069,fuel_sensor,AC-004,2021-10-26,2024-01-06,802,27,0
CMP-0043,vibration_sensor,AC-024,2022-09-17,2024-01-02,472,16,0
CMP-0018,fuel_sensor,AC-042,2021-07-09,2024-01-18,923,30,0
CMP-0024,hydraulic_pump,AC-049,2023-07-17,2024-01-09,176,6,0
CMP-0169,fuel_sensor,AC-048,2023-03-13,2024-01-01,294,10,0
CMP-0056,oil_pressure_valve,AC-033,2020-01-25,2024-01-06,1442,48,0
CMP-0183,fuel_sensor,AC-049,2023-09-05,2024-01-08,125,4,0
CMP-0154,hydraulic_pump,AC-049,2023-06-19,2024-01-11,206,7,0
CMP-0032,fuel_sensor,AC-037,2023-05-29,2024-01-01,217,8,0
CMP-0061,fuel_sensor,AC-032,2023-07-08,2024-01-05,181,6,0
CMP-0071,fuel_sensor,AC-005,2021-12-03,2024-01-02,760,25,0
CMP-0159,oil_pressure_valve,AC-021,2023-08-13,2024-01-16,156,5,0
CMP-0039,hydraulic_pump,AC-028,2023-10-07,2024-02-14,130,4,0
CMP-0123,oil_pressure_valve,AC-009,2022-04-30,2024-01-02,612,21,0
CMP-0176,temperature_probe,AC-028,2023-05-16,2024-01-05,234,8,0
CMP-0045,vibration_sensor,AC-016,2023-01-10,2024-01-08,363,12,0
CMP-0042,temperature_probe,AC-033,2021-01-25,2024-01-06,1076,36,0
CMP-0051,vibration_sensor,AC-012,2022-05-13,2024-01-01,598,20,0
CMP-0037,fuel_sensor,AC-037,2022-04-13,2024-01-15,642,21,0
CMP-0034,oil_pressure_valve,AC-020,2023-01-12,2024-02-01,385,13,0
CMP-0066,hydraulic_pump,AC-012,2022-03-26,2024-01-01,646,22,0
CMP-0079,oil_pressure_valve,AC-006,2023-03-20,2024-02-04,321,11,0
CMP-0115,fuel_sensor,AC-045,2023-02-11,2024-01-02,325,11,0
CMP-0084,hydraulic_pump,AC-046,2021-04-10,2024-01-01,996,33,0
CMP-0190,oil_pressure_valve,AC-028,2023-09-06,2024-01-08,124,4,0
CMP-0182,hydraulic_pump,AC-011,2023-08-05,2024-01-02,150,5,0
CMP-0163,fuel_sensor,AC-035,2021-02-04,2024-01-05,1065,35,0
CMP-0168,hydraulic_pump,AC-009,2022-04-10,2024-01-03,633,21,0
CMP-0046,oil_pressure_valve,AC-023,2020-02-11,2024-01-04,1423,47,0
CMP-0128,temperature_probe,AC-011,2019-09-16,2024-01-02,1569,52,0
CMP-0193,fuel_sensor,AC-025,2021-06-07,2024-01-02,939,31,0
CMP-0191,vibration_sensor,AC-008,2022-08-23,2024-01-03,498,17,0
CMP-0030,oil_pressure_valve,AC-028,2023-06-28,2024-02-19,236,8,0
CMP-0052,fuel_sensor,AC-047,2021-08-24,2024-01-03,862,29,0
CMP-0117,hydraulic_pump,AC-046,2022-05-18,2024-01-10,602,20,0
CMP-0194,oil_pressure_valve,AC-043,2023-11-04,2024-04-12,160,5,0
CMP-0148,fuel_sensor,AC-025,2021-04-25,2024-01-01,981,33,0
CMP-0058,hydraulic_pump,AC-030,2020-09-20,2024-01-01,1198,40,0
CMP-0146,temperature_probe,AC-025,2022-12-19,2024-01-25,402,13,0
CMP-0047,hydraulic_pump,AC-045,2023-01-23,2024-01-13,355,12,0
CMP-0137,fuel_sensor,AC-014,2019-09-09,2024-01-01,1575,52,0
CMP-0067,fuel_sensor,AC-039,2021-11-07,2024-01-08,792,26,0
CMP-0129,oil_pressure_valve,AC-032,2022-06-15,2024-02-14,609,20,0
CMP-0171,fuel_sensor,AC-044,2023-05-03,2024-01-04,246,8,0
CMP-0196,vibration_sensor,AC-045,2023-05-31,2024-01-07,221,8,0
CMP-0035,oil_pressure_valve,AC-011,2022-05-06,2024-01-03,607,20,0
CMP-0050,fuel_sensor,AC-021,2021-07-10,2024-01-13,917,30,0
CMP-0085,oil_pressure_valve,AC-021,2023-05-21,2024-01-10,234,8,0
CMP-0166,oil_pressure_valve,AC-006,2023-10-08,2024-01-29,113,3,0
CMP-0143,hydraulic_pump,AC-039,2022-04-27,2024-01-16,629,21,0
CMP-0033,hydraulic_pump,AC-025,2023-06-12,2024-01-01,203,7,0
CMP-0195,hydraulic_pump,AC-034,2021-04-03,2024-01-08,1010,33,0
CMP-0089,temperature_probe,AC-017,2021-03-28,2024-01-09,1017,34,0
CMP-0157,vibration_sensor,AC-048,2023-07-26,2024-02-04,193,7,0
CMP-0136,vibration_sensor,AC-031,2022-05-03,2024-01-02,609,20,0
CMP-0151,vibration_sensor,AC-016,2021-01-13,2024-01-06,1088,36,0
CMP-0017,temperature_probe,AC-009,2022-05-06,2024-01-27,631,20,0
CMP-0007,fuel_sensor,AC-025,2023-06-09,2024-02-17,253,8,0
CMP-0088,fuel_sensor,AC-013,2021-11-13,2024-01-10,788,26,0
CMP-0188,oil_pressure_valve,AC-028,2023-12-17,2024-02-18,63,2,0
CMP-0107,hydraulic_pump,AC-005,2021-12-08,2024-01-09,762,25,0
CMP-0116,fuel_sensor,AC-015,2023-06-10,2024-01-05,209,7,0
CMP-0180,hydraulic_pump,AC-039,2021-01-26,2024-02-13,1113,37,0
CMP-0133,vibration_sensor,AC-028,2023-06-06,2024-01-04,212,7,0
CMP-0049,hydraulic_pump,AC-005,2023-11-24,2024-02-14,82,3,0
CMP-0022,fuel_sensor,AC-040,2021-11-09,2024-01-05,787,26,0
CMP-0114,hydraulic_pump,AC-038,2022-08-07,2024-01-01,512,17,0
CMP-0177,vibration_sensor,AC-014,2022-11-10,2024-01-17,433,14,0
CMP-0120,hydraulic_pump,AC-044,2023-07-15,2024-01-03,172,6,0
CMP-0060,vibration_sensor,AC-043,2023-09-20,2024-01-27,129,4,0
CMP-0077,oil_pressure_valve,AC-012,2021-05-27,2024-01-03,951,32,0
CMP-0005,hydraulic_pump,AC-027,2020-07-23,2024-01-17,1273,42,0
CMP-0081,hydraulic_pump,AC-016,2021-04-17,2024-01-02,990,33,0
CMP-0141,fuel_sensor,AC-028,2023-11-02,2024-01-03,62,2,0
CMP-0087,temperature_probe,AC-018,2020-09-08,2024-01-05,1214,40,0
CMP-0099,hydraulic_pump,AC-036,2023-05-28,2024-02-12,260,9,0
CMP-0092,vibration_sensor,AC-022,2022-09-07,2024-01-03,483,16,0
CMP-0132,fuel_sensor,AC-047,2021-01-15,2024-01-04,1084,36,0
CMP-0078,temperature_probe,AC-049,2023-11-28,2024-01-08,41,2,0
CMP-0015,vibration_sensor,AC-047,2020-11-02,2024-01-01,1155,38,0
CMP-0057,fuel_sensor,AC-016,2023-07-03,2024-02-15,227,7,0
CMP-0149,temperature_probe,AC-026,2022-07-30,2024-01-01,520,18,0
CMP-0198,fuel_sensor,AC-037,2023-04-05,2024-02-11,312,10,0
CMP-0008,temperature_probe,AC-012,2021-06-04,2024-01-03,943,31,0
CMP-0145,hydraulic_pump,AC-004,2021-04-27,2024-01-19,997,33,0
CMP-0192,oil_pressure_valve,AC-037,2022-10-08,2024-01-20,469,15,0
CMP-0173,oil_pressure_valve,AC-039,2021-06-12,2024-01-01,933,31,0
CMP-0125,oil_pressure_valve,AC-005,2023-03-03,2024-02-18,352,11,0
CMP-0027,temperature_probe,AC-029,2022-03-13,2024-01-04,662,22,0
CMP-0185,hydraulic_pump,AC-002,2021-09-04,2024-01-11,859,28,0
CMP-0164,vibration_sensor,AC-037,2023-11-17,2024-01-01,45,2,0
CMP-0110,oil_pressure_valve,AC-019,2022-02-17,2024-01-07,689,23,0
CMP-0127,oil_pressure_valve,AC-016,2021-01-20,2024-01-13,1088,36,0
CMP-0023,temperature_probe,AC-032,2022-12-20,2024-01-02,378,13,0
CMP-0068,vibration_sensor,AC-002,2021-10-08,2024-01-01,815,27,0
CMP-0135,oil_pressure_valve,AC-040,2023-03-29,2024-01-01,278,10,0
CMP-0142,fuel_sensor,AC-049,2023-01-04,2024-01-09,370,12,0
CMP-0040,temperature_probe,AC-036,2022-12-10,2024-02-16,433,14,0
CMP-0019,hydraulic_pump,AC-048,2023-08-15,2024-02-21,190,6,0
CMP-0174,temperature_probe,AC-005,2022-01-16,2024-01-08,722,24,0
CMP-0062,temperature_probe,AC-012,2023-10-08,2024-01-07,91,3,0
CMP-0096,temperature_probe,AC-045,2023-10-27,2024-02-23,119,4,0
CMP-0103,oil_pressure_valve,AC-001,2023-08-30,2024-01-19,142,5,0
CMP-0170,vibration_sensor,AC-012,2022-10-11,2024-01-10,456,15,0
